Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,null,null,null,null,null,null
2016-09-01,5.390000,5.530000,4.470000,4.660000,4.434402,35896200
2016-10-01,4.590000,4.870000,4.180000,4.630000,4.405854,41482400
2016-11-01,4.670000,5.340000,4.510000,4.850000,4.615203,39037600
2016-12-01,5.000000,5.720000,4.870000,5.530000,5.262284,35871100
2017-01-01,5.710000,5.990000,5.370000,5.620000,5.347927,26160900
2017-02-01,5.700000,6.400000,5.610000,5.880000,5.595340,31889600
2017-03-01,6.010000,6.120000,5.660000,6.070000,5.776142,23062700
2017-04-01,6.050000,6.930000,5.660000,6.840000,6.508865,21990300
2017-05-01,6.860000,7.060000,6.650000,6.730000,6.404190,21502800
2017-06-01,6.630000,6.770000,6.240000,6.530000,6.213872,21090900
2017-07-01,6.590000,6.850000,6.430000,6.640000,6.318547,15607300
2017-08-01,6.750000,6.940000,6.480000,6.580000,6.261452,16355500
2017-09-01,6.590000,7.370000,6.360000,7.280000,6.927564,14428200
2017-10-01,7.170000,7.620000,7.150000,7.590000,7.222557,15626200
2017-11-01,7.600000,7.680000,7.210000,7.540000,7.174976,15989300
2017-12-01,7.470000,7.680000,7.380000,7.640000,7.270135,12512900
2018-01-01,7.620000,8.740000,7.540000,8.330000,7.926732,15828600
2018-02-01,8.280000,8.390000,7.450000,7.450000,7.089334,23116700
2018-03-01,7.420000,7.550000,7.110000,7.400000,7.041755,23427300
2018-04-01,7.400000,7.860000,7.280000,7.480000,7.117881,11514900
2018-05-01,7.460000,8.140000,7.310000,7.380000,7.022723,16399000
2018-06-01,7.560000,7.610000,6.690000,6.800000,6.470801,28557200
2018-07-01,6.710000,6.900000,6.420000,6.780000,6.451770,14716100
2018-08-01,6.790000,6.860000,6.130000,6.360000,6.052103,13974600
2018-09-01,6.370000,7.200000,6.350000,6.530000,6.263243,15339600
2018-10-01,6.600000,6.710000,5.820000,6.100000,5.850809,15449300
2018-11-01,6.450000,6.770000,5.430000,5.610000,5.380826,34896500
2018-12-01,5.710000,5.740000,4.980000,5.590000,5.361643,28656400
2019-01-01,5.390000,6.520000,5.370000,6.430000,6.167327,23862900
2019-02-01,6.400000,7.190000,6.130000,7.110000,6.819549,16657700
2019-03-01,7.110000,7.310000,6.430000,6.520000,6.253651,17937800
2019-04-01,6.580000,7.050000,6.280000,6.390000,6.390000,15625200
2019-05-01,6.350000,6.410000,5.450000,5.470000,5.470000,15739600
2019-06-01,5.450000,5.730000,5.420000,5.680000,5.680000,15722400
2019-07-01,5.740000,5.910000,5.350000,5.380000,5.380000,12147800
2019-08-01,5.330000,5.360000,4.850000,5.050000,5.050000,8535200
